X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
405084,135772,20105767,2020/07/24 13:03:09+00,2020/07/24 01:00:28+00,2020/07/24 10:20:37+00,4100 - 4276 BLOCK OF EAST CAPITOL STREET,THEFT F/AUTO,OTHERS,DAY,7,7F,6,603,Cluster 33,007703 1,007703,Precinct 103,,405084,135772,38.8897761049,-76.9413990624,941004530,
393681,140287,20071084,2020/05/12 22:34:54+00,2020/05/12 20:00:10+00,2020/05/12 21:45:46+00,3000 - 3199 BLOCK OF WISCONSIN AVENUE NW,BURGLARY,OTHERS,EVENING,3,3A,2,204,Cluster 14,000704 1,000704,Precinct 28,,393681,140287,38.9304407462,-77.0728777576,941004533,
397799,141494,20071328,2020/05/13 13:32:39+00,2020/05/13 02:30:02+00,2020/05/13 10:45:21+00,4100  - 4199 BLOCK OF GEORGIA AVENUE NW,THEFT F/AUTO,OTHERS,DAY,4,4C,4,404,Cluster 18,002503 1,002503,Precinct 47,,397799,141494,38.9413337274,-77.0253882636,941004534,
399490,134352,20074442,2020/05/20 01:13:57+00,2020/05/19 22:22:18+00,2020/05/19 23:21:56+00,1100 - 1199 BLOCK OF 1ST STREET SE,MOTOR VEHICLE THEFT,OTHERS,EVENING,6,8F,1,106,Cluster 27,007202 1,007202,Precinct 131,CAPITOL RIVERFRONT,399490,134352,38.8769987503,-77.0058774832,941004535,
397700,138792,20075269,2020/05/21 16:33:34+00,2020/05/20 20:00:11+00,2020/05/20 20:30:27+00,1000 - 1099 BLOCK OF U STREET NW,THEFT/OTHER,OTHERS,DAY,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 22,,397700,138792,38.9169930207,-77.0265211617,941004536,
394867,137533,20075738,2020/05/22 14:51:26+00,2020/05/21 22:00:07+00,2020/05/22 02:00:55+00,1200 - 1226 BLOCK OF 30TH STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,GEORGETOWN,394867,137533,38.9056395426,-77.0591788965,941004537,
404097,135820,20032888,2020/02/23 21:51:41+00,2020/02/23 21:19:54+00,2020/02/23 21:22:01+00,3652 - 3701 BLOCK OF MINNESOTA AVENUE NE,THEFT/OTHER,OTHERS,EVENING,7,7F,6,603,Cluster 32,009603 3,009603,Precinct 102,,404097,135820,38.8902136604,-76.9527754705,941004608,
399432,138262,20036716,2020/03/01 01:07:22+00,2020/02/29 21:36:23+00,2020/02/29 22:51:26+00,1620 - 1699 BLOCK OF 1ST STREET NE,THEFT F/AUTO,OTHERS,EVENING,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,,399432,138262,38.9122214295,-77.0065491356,941004609,
398477,137319,20085602,2020/06/09 21:09:05+00,2020/06/09 20:25:53+00,,400 - 497 BLOCK OF L STREET NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,6,6E,1,101,Cluster 8,004703 2,004703,Precinct 1,MOUNT VERNON TRIANGLE CID,398477,137319,38.9037254238,-77.0175583548,941004613,
400384,136927,20011496,2020/01/20 00:32:23+00,2020/01/19 23:22:59+00,2020/01/19 23:58:24+00,700 - 799 BLOCK OF H STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6A,1,104,Cluster 25,008302 2,008302,Precinct 83,,400384,136927,38.9001953841,-76.9955731618,941004615,
398413,137185,20012116,2020/01/21 02:53:04+00,2020/01/21 00:30:15+00,2020/01/21 02:53:16+00,444 - 499 BLOCK OF K STREET NW,THEFT/OTHER,OTHERS,EVENING,6,6E,1,101,Cluster 8,004703 2,004703,Precinct 1,MOUNT VERNON TRIANGLE CID,398413,137185,38.9025181913,-77.018295888,941004616,
399950,136400,20078127,2020/05/27 08:31:48+00,2020/05/24 04:35:25+00,2020/05/27 01:50:34+00,400 - 499 BLOCK OF 4TH STREET NE,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,6,6C,1,108,Cluster 25,008301 2,008301,Precinct 84,,399950,136400,38.8954480598,-77.0005763729,941004619,
402318,136926,20030866,2020/02/20 17:29:19+00,2020/02/20 13:59:59+00,,2100 - 2399 BLOCK OF H STREET NE,ROBBERY,GUN,DAY,5,5D,5,507,Cluster 23,008904 3,008904,Precinct 79,,402318,136926,38.9001834034,-76.9732775799,941004620,
